county,year,totalfilings
Lampasas County TX  ,2007,14
La Salle County TX  ,2007,2
Lavaca County TX  ,2007,11
Lee County TX  ,2007,16
Leon County TX  ,2007,8
Liberty County TX  ,2007,77
Limestone County TX  ,2007,20
Lipscomb County TX  ,2007,3
Live Oak County TX  ,2007,9
Llano County TX  ,2007,15
Lubbock County TX,2007,321
Lynn County TX  ,2007,3
McCulloch County TX  ,2007,3
McLennan County TX,2007,440
Madison County TX  ,2007,8
Marion County TX  ,2007,26
Martin County TX  ,2007,2
Mason County TX  ,2007,2
Matagorda County TX  ,2007,19
Maverick County TX  ,2007,24
Medina County TX  ,2007,51
Midland County TX  ,2007,96
Milam County TX  ,2007,25
Mills County TX  ,2007,2
Mitchell County TX  ,2007,7
Montague County TX  ,2007,22
Montgomery County TX,2007,583
Moore County TX  ,2007,18
Morris County TX  ,2007,16
Motley County TX  ,2007,1
Nacogdoches County TX  ,2007,87
Navarro County TX  ,2007,50
Newton County TX  ,2007,14
Nolan County TX  ,2007,24
Nueces County TX,2007,441
Ochiltree County TX  ,2007,5
Oldham County TX  ,2007,4
Orange County TX  ,2007,144
Palo Pinto County TX  ,2007,25
Panola County TX  ,2007,29
Parker County TX,2007,259
Parmer County TX  ,2007,3
Pecos County TX  ,2007,7
Polk County TX  ,2007,64
Potter County TX,2007,239
Presidio County TX  ,2007,1
Rains County TX  ,2007,15
Randall County TX,2007,193
Reagan County TX  ,2007,1
Real County TX  ,2007,0
Red River County TX  ,2007,12
Reeves County TX  ,2007,4
Refugio County TX  ,2007,9
Roberts County TX  ,2007,1
Robertson County TX  ,2007,10
Rockwall County TX,2007,207
Runnels County TX  ,2007,11
Rusk County TX  ,2007,49
Sabine County TX  ,2007,13
San Augustine County TX  ,2007,18
San Jacinto County TX  ,2007,22
San Patricio County TX  ,2007,70
San Saba County TX  ,2007,3
Schleicher County TX  ,2007,2
Scurry County TX  ,2007,7
Shackelford County TX  ,2007,6
Shelby County TX  ,2007,42
Sherman County TX  ,2007,1
Smith County TX,2007,362
Somervell County TX  ,2007,8
Starr County TX  ,2007,23
Stephens County TX  ,2007,7
Sterling County TX  ,2007,1
Stonewall County TX  ,2007,3
Sutton County TX  ,2007,1
Swisher County TX  ,2007,12
Tarrant County TX,2007,4705
Taylor County TX,2007,311
Terry County TX  ,2007,9
Throckmorton County TX  ,2007,2
Titus County TX  ,2007,26
Tom Green County TX,2007,175
Travis County TX,2007,1152
Trinity County TX  ,2007,14
Tyler County TX  ,2007,33
Upshur County TX  ,2007,40
Upton County TX  ,2007,1
Uvalde County TX  ,2007,21
Val Verde County TX  ,2007,33
Van Zandt County TX  ,2007,89
Victoria County TX  ,2007,104
Walker County TX  ,2007,31
Waller County TX  ,2007,53
Ward County TX  ,2007,1
Washington County TX  ,2007,22
Webb County TX,2007,275
Wharton County TX  ,2007,34
Wheeler County TX  ,2007,4
Wichita County TX,2007,384
Wilbarger County TX  ,2007,24
Willacy County TX  ,2007,19
Williamson County TX,2007,711
Wilson County TX  ,2007,56
Winkler County TX  ,2007,5
Wise County TX  ,2007,85
Wood County TX  ,2007,77
Yoakum County TX  ,2007,1
Young County TX  ,2007,17
Zapata County TX  ,2007,3
Zavala County TX  ,2007,2
Beaver County UT  ,2007,2
Box Elder County UT  ,2007,144
Cache County UT,2007,190
Carbon County UT  ,2007,55
Daggett County UT  ,2007,3
Davis County UT,2007,718
Duchesne County UT  ,2007,16
Emery County UT  ,2007,31
Garfield County UT  ,2007,7
Grand County UT  ,2007,11
Iron County UT  ,2007,58
Juab County UT  ,2007,26
Kane County UT  ,2007,4
Millard County UT  ,2007,9
Morgan County UT  ,2007,11
Piute County UT  ,2007,2
Rich County UT  ,2007,3
Salt Lake County UT,2007,2840
San Juan County UT  ,2007,12
Sanpete County UT  ,2007,30
Sevier County UT  ,2007,31
Summit County UT  ,2007,28
Tooele County UT,2007,218
Uintah County UT  ,2007,42
Utah County UT,2007,779
Wasatch County UT  ,2007,23
Washington County UT,2007,204
Wayne County UT  ,2007,1
Weber County UT,2007,777
Addison County VT  ,2007,54
Bennington County VT  ,2007,49
Caledonia County VT  ,2007,50
Chittenden County VT,2007,160
Essex County VT  ,2007,19
Franklin County VT  ,2007,86
Grand Isle County VT  ,2007,20
Lamoille County VT  ,2007,32
Orange County VT  ,2007,47
Orleans County VT  ,2007,33
Rutland County VT  ,2007,116
Washington County VT  ,2007,38
Windham County VT  ,2007,45
Windsor County VT  ,2007,81
Accomack County VA  ,2007,45
Albemarle County VA  ,2007,121
Alleghany County VA  ,2007,28
Amelia County VA  ,2007,63
Amherst County VA  ,2007,138
Appomattox County VA  ,2007,69
Arlington County VA,2007,178
Augusta County VA,2007,151
Bath County VA  ,2007,6
Bedford County VA,2007,246
Bland County VA  ,2007,10
Botetourt County VA  ,2007,68
Brunswick County VA  ,2007,73
Buchanan County VA  ,2007,25
Buckingham County VA  ,2007,42
Campbell County VA,2007,275
Caroline County VA  ,2007,116
Carroll County VA  ,2007,45
Charles City County VA  ,2007,20
Charlotte County VA  ,2007,38
Chesterfield County VA,2007,1014
Clarke County VA  ,2007,18
Craig County VA  ,2007,14
Culpeper County VA,2007,114
Cumberland County VA  ,2007,22
Dickenson County VA  ,2007,24
Dinwiddie County VA  ,2007,95
Essex County VA  ,2007,45
Fairfax County VA,2007,1440
Fauquier County VA,2007,116
Floyd County VA  ,2007,31
Fluvanna County VA  ,2007,44
Franklin County VA,2007,170
Frederick County VA,2007,150
Giles County VA  ,2007,42
Gloucester County VA  ,2007,100
Goochland County VA  ,2007,47
Grayson County VA  ,2007,24
Greene County VA  ,2007,25
Greensville County VA  ,2007,61
Halifax County VA  ,2007,109
Hanover County VA,2007,216
Henrico County VA,2007,1066
Henry County VA,2007,180
Highland County VA  ,2007,5
Isle of Wight County VA  ,2007,77
James City County VA,2007,122
King and Queen County VA  ,2007,26
King George County VA  ,2007,44
King William County VA  ,2007,54
Lancaster County VA  ,2007,40
Lee County VA  ,2007,29
Loudoun County VA,2007,539
Louisa County VA  ,2007,71
Lunenburg County VA  ,2007,34
Madison County VA  ,2007,24
Mathews County VA  ,2007,14
Mecklenburg County VA  ,2007,80
Middlesex County VA  ,2007,27
Montgomery County VA,2007,132
Nelson County VA  ,2007,40
New Kent County VA  ,2007,51
Northampton County VA  ,2007,21
Northumberland County VA  ,2007,22
Nottoway County VA  ,2007,56
Orange County VA  ,2007,61
Page County VA  ,2007,57
Patrick County VA  ,2007,46
Pittsylvania County VA,2007,252
Powhatan County VA  ,2007,62
Prince Edward County VA  ,2007,55
Prince George County VA  ,2007,78
Prince William County VA,2007,1134
Pulaski County VA  ,2007,105
Rappahannock County VA  ,2007,12
Richmond County VA  ,2007,31
Roanoke County VA,2007,272
Rockbridge County VA  ,2007,39
Rockingham County VA  ,2007,89
Russell County VA  ,2007,43
Scott County VA  ,2007,55
Shenandoah County VA  ,2007,60
Smyth County VA  ,2007,87
Southampton County VA  ,2007,50
Spotsylvania County VA,2007,346
Stafford County VA,2007,295
Surry County VA  ,2007,12
Sussex County VA  ,2007,28
Tazewell County VA  ,2007,98
Warren County VA  ,2007,76
Washington County VA,2007,153
Westmoreland County VA  ,2007,37
Wise County VA  ,2007,119
Wythe County VA  ,2007,61
York County VA  ,2007,81
Alexandria City VA,2007,168
Bedford City VA  ,2007,11
Bristol City VA  ,2007,13
Buena Vista City VA  ,2007,17
Charlottesville City VA  ,2007,47
Chesapeake City VA,2007,612
Colonial Heights City VA  ,2007,68
Covington City VA  ,2007,20
Danville City VA  ,2007,155
Emporia City VA  ,2007,10
Fairfax City VA  ,2007,31
Falls Church City VA  ,2007,12
Franklin City VA  ,2007,28
Fredericksburg City VA  ,2007,60
Galax City VA  ,2007,1
Hampton City VA,2007,405
Harrisonburg City VA  ,2007,44
Hopewell City VA  ,2007,85
Lexington City VA  ,2007,5
Lynchburg City VA,2007,309
Manassas City VA  ,2007,93
Manassas Park City VA  ,2007,14
Martinsville City VA  ,2007,52
Newport News City VA,2007,515
Norfolk City VA,2007,639
Norton City VA  ,2007,18
Petersburg City VA  ,2007,140
Poquoson City VA  ,2007,13
Portsmouth City VA,2007,308
Radford City VA  ,2007,24
Richmond City VA,2007,770
Roanoke City VA,2007,418
Salem City VA  ,2007,94
Staunton City VA  ,2007,52
Suffolk City VA,2007,211
Virginia Beach City VA,2007,1113
Waynesboro City VA  ,2007,44
Williamsburg City VA  ,2007,15
Winchester City VA  ,2007,30
Adams County WA  ,2007,39
Asotin County WA  ,2007,42
Benton County WA,2007,477
Chelan County WA,2007,175
Clallam County WA,2007,134
Clark County WA,2007,1172
Columbia County WA  ,2007,14
Cowlitz County WA,2007,247
Douglas County WA  ,2007,84
Ferry County WA  ,2007,10
Franklin County WA,2007,179
Grant County WA,2007,243
Grays Harbor County WA,2007,192
Island County WA,2007,118
Jefferson County WA  ,2007,46
King County WA,2007,3178
Kitsap County WA,2007,482
Kittitas County WA  ,2007,53
Klickitat County WA  ,2007,49
Lewis County WA,2007,203
Lincoln County WA  ,2007,20
Mason County WA,2007,148
Okanogan County WA  ,2007,60
Pacific County WA  ,2007,40
Pend Oreille County WA  ,2007,22
Pierce County WA,2007,2015
San Juan County WA  ,2007,15
Skagit County WA,2007,283
Skamania County WA  ,2007,24
Snohomish County WA,2007,1604
Spokane County WA,2007,1376
Stevens County WA  ,2007,92
Thurston County WA,2007,559
Wahkiakum County WA  ,2007,4
Walla Walla County WA,2007,126
Whatcom County WA,2007,392
Whitman County WA  ,2007,37
Yakima County WA,2007,1092
Barbour County WV  ,2007,22
Berkeley County WV,2007,221
Boone County WV  ,2007,79
Braxton County WV  ,2007,16
Brooke County WV  ,2007,93
Cabell County WV,2007,289
Calhoun County WV  ,2007,8
Clay County WV  ,2007,18
Doddridge County WV  ,2007,15
Fayette County WV,2007,100
Gilmer County WV  ,2007,5
Grant County WV  ,2007,18
Greenbrier County WV  ,2007,56
Hampshire County WV  ,2007,44
Hancock County WV  ,2007,96
Hardy County WV  ,2007,22
Harrison County WV,2007,169
Jackson County WV  ,2007,66
Jefferson County WV  ,2007,72
Kanawha County WV,2007,495
Lewis County WV  ,2007,42
Lincoln County WV  ,2007,65
Logan County WV  ,2007,60
McDowell County WV  ,2007,26
Marion County WV,2007,110
Marshall County WV  ,2007,84
Mason County WV  ,2007,66
Mercer County WV,2007,158
Mineral County WV  ,2007,42
Mingo County WV  ,2007,77
Monongalia County WV,2007,111
Monroe County WV  ,2007,10
Morgan County WV  ,2007,27
Nicholas County WV  ,2007,49
Ohio County WV,2007,118
Pendleton County WV  ,2007,7
Pleasants County WV  ,2007,5
Pocahontas County WV  ,2007,5
Preston County WV  ,2007,58
Putnam County WV,2007,154
Raleigh County WV,2007,144
Randolph County WV  ,2007,51
Ritchie County WV  ,2007,12
Roane County WV  ,2007,23
Summers County WV  ,2007,15
Taylor County WV  ,2007,29
Tucker County WV  ,2007,8
Tyler County WV  ,2007,14
Upshur County WV  ,2007,38
Wayne County WV,2007,127
Webster County WV  ,2007,17
Wetzel County WV  ,2007,32
Wirt County WV  ,2007,11
Wood County WV,2007,227
Wyoming County WV  ,2007,41
Adams County WI  ,2007,58
Ashland County WI  ,2007,34
Barron County WI  ,2007,87
Bayfield County WI  ,2007,16
Brown County WI,2007,613
Buffalo County WI  ,2007,28
Burnett County WI  ,2007,46
Calumet County WI  ,2007,62
Chippewa County WI,2007,134
Clark County WI  ,2007,45
Columbia County WI,2007,160
Crawford County WI  ,2007,28
Dane County WI,2007,980
Dodge County WI,2007,260
Door County WI  ,2007,42
Douglas County WI,2007,111
Dunn County WI  ,2007,72
Eau Claire County WI,2007,173
Florence County WI  ,2007,14
Fond du Lac County WI,2007,254
Forest County WI  ,2007,10
Grant County WI  ,2007,79
Green County WI  ,2007,71
Green Lake County WI  ,2007,39
Iowa County WI  ,2007,41
Iron County WI  ,2007,16
Jackson County WI  ,2007,44
Jefferson County WI,2007,192
Juneau County WI  ,2007,61
Kenosha County WI,2007,488
Kewaunee County WI  ,2007,33
La Crosse County WI,2007,241
Lafayette County WI  ,2007,20
Langlade County WI  ,2007,51
Lincoln County WI  ,2007,82
Manitowoc County WI,2007,202
Marathon County WI,2007,259
Marinette County WI,2007,134
Marquette County WI  ,2007,52
Menominee County WI  ,2007,5
Milwaukee County WI,2007,4471
Monroe County WI,2007,93
Oconto County WI  ,2007,87
Oneida County WI  ,2007,97
Outagamie County WI,2007,365
Ozaukee County WI,2007,161
Pepin County WI  ,2007,8
Pierce County WI  ,2007,94
Polk County WI,2007,98
Portage County WI  ,2007,96
Price County WI  ,2007,36
Racine County WI,2007,710
Richland County WI  ,2007,35
Rock County WI,2007,519
Rusk County WI  ,2007,26
St. Croix County WI,2007,243
Sauk County WI,2007,185
Sawyer County WI  ,2007,45
Shawano County WI,2007,111
Sheboygan County WI,2007,263
Taylor County WI  ,2007,38
Trempealeau County WI  ,2007,45
Vernon County WI  ,2007,43
Vilas County WI  ,2007,43
Walworth County WI,2007,274
Washburn County WI  ,2007,30
Washington County WI,2007,302
Waukesha County WI,2007,841
Waupaca County WI,2007,123
Waushara County WI  ,2007,61
Winnebago County WI,2007,378
Wood County WI,2007,171
Albany County WY  ,2007,29
Big Horn County WY  ,2007,15
Campbell County WY  ,2007,65
Carbon County WY  ,2007,33
Converse County WY  ,2007,14
Crook County WY  ,2007,2
Fremont County WY  ,2007,24
Goshen County WY  ,2007,17
Johnson County WY  ,2007,3
Laramie County WY,2007,217
Lincoln County WY  ,2007,15
Natrona County WY,2007,135
Niobrara County WY  ,2007,4
Park County WY  ,2007,33
Platte County WY  ,2007,5
Sheridan County WY  ,2007,30
Sublette County WY  ,2007,6
Sweetwater County WY  ,2007,50
Teton County WY  ,2007,12
Uinta County WY  ,2007,40
Washakie County WY  ,2007,8
Weston County WY  ,2007,3
Median Value,2008,71
Autauga County AL,2008,286
Baldwin County AL,2008,1085
Barbour County AL  ,2008,156
Bibb County AL  ,2008,129
Blount County AL,2008,269
Bullock County AL  ,2008,48
Butler County AL  ,2008,141
Calhoun County AL,2008,667
Chambers County AL  ,2008,352
Cherokee County AL  ,2008,105
Chilton County AL  ,2008,192
Choctaw County AL  ,2008,34
Clarke County AL  ,2008,151
Clay County AL  ,2008,71
Cleburne County AL  ,2008,57
Coffee County AL  ,2008,219
Colbert County AL,2008,339
Conecuh County AL  ,2008,86
Coosa County AL  ,2008,75
Covington County AL  ,2008,149
Crenshaw County AL  ,2008,71
Cullman County AL,2008,426
Dale County AL  ,2008,317
Dallas County AL  ,2008,230
DeKalb County AL,2008,203
Elmore County AL,2008,447
Escambia County AL  ,2008,283
Etowah County AL,2008,515
Fayette County AL  ,2008,112
Franklin County AL  ,2008,198
Geneva County AL  ,2008,122
Greene County AL  ,2008,80
Hale County AL  ,2008,8
Henry County AL  ,2008,151
Houston County AL,2008,744
Jackson County AL,2008,252
Jefferson County AL,2008,5188
Lamar County AL  ,2008,73
Lauderdale County AL,2008,482
Lawrence County AL  ,2008,172
Lee County AL,2008,534
Limestone County AL,2008,382
Lowndes County AL  ,2008,64
Macon County AL  ,2008,81
Madison County AL,2008,1395
Marengo County AL  ,2008,60
Marion County AL  ,2008,133
Marshall County AL,2008,477
Mobile County AL,2008,3226
Monroe County AL  ,2008,124
Montgomery County AL,2008,1304
Morgan County AL,2008,573
Perry County AL  ,2008,35
Pickens County AL  ,2008,134
Pike County AL  ,2008,178
Randolph County AL  ,2008,104
Russell County AL  ,2008,263
St. Clair County AL,2008,387
Shelby County AL,2008,844
Sumter County AL  ,2008,72
Talladega County AL,2008,640
Tallapoosa County AL  ,2008,269
Tuscaloosa County AL,2008,1769
Walker County AL,2008,331
Washington County AL  ,2008,89
Wilcox County AL  ,2008,36
Winston County AL  ,2008,90
Aleutians East Borough AK  ,2008,0
Anchorage Municipality AK,2008,431
Bethel Census Area AK  ,2008,3
Bristol Bay Borough AK  ,2008,2
Denali Borough AK  ,2008,2
Dillingham Census Area AK  ,2008,1
Fairbanks North Star Borough AK  ,2008,122
Haines Borough AK  ,2008,1
Juneau City and Borough AK  ,2008,35
Kenai Peninsula Borough AK  ,2008,38
Ketchikan Gateway Borough AK  ,2008,22
Kodiak Island Borough AK  ,2008,8
Lake and Peninsula Borough AK  ,2008,1
Matanuska-Susitna Borough AK  ,2008,121
Nome Census Area AK  ,2008,3
Northwest Arctic Borough AK  ,2008,1
Prince of Wales-Outer Ketchikan Census Area AK  end   ,2008,1
Sitka City and Borough AK  ,2008,8
Skagway-Hoonah-Angoon Census Area AK  end   ,2008,0
Southeast Fairbanks Census Area AK  ,2008,2
Valdez-Cordova Census Area AK  ,2008,1
Wrangell-Petersburg Census Area AK  end   ,2008,1
Apache County AZ  ,2008,34
Cochise County AZ,2008,228
Coconino County AZ,2008,153
Gila County AZ  ,2008,88
Graham County AZ  ,2008,51
Greenlee County AZ  ,2008,15
La Paz County AZ  ,2008,37
Maricopa County AZ    ,2008,12334
Mohave County AZ,2008,751
Navajo County AZ  ,2008,140
Pima County AZ,2008,2532
Pinal County AZ,2008,1124
Santa Cruz County AZ  ,2008,118
Yavapai County AZ,2008,560
Yuma County AZ,2008,302
Arkansas County AR  ,2008,138
Ashley County AR  ,2008,95
Baxter County AR,2008,117
Benton County AR,2008,995
Boone County AR  ,2008,116
Bradley County AR  ,2008,70
Calhoun County AR  ,2008,16
Carroll County AR  ,2008,69
Chicot County AR  ,2008,63
Clark County AR  ,2008,115
Clay County AR  ,2008,56
Cleburne County AR  ,2008,124
Cleveland County AR  ,2008,65
Columbia County AR  ,2008,80
Conway County AR  ,2008,72
Craighead County AR,2008,404
Crawford County AR,2008,272
Crittenden County AR,2008,295
Cross County AR  ,2008,82
Dallas County AR  ,2008,64
Desha County AR  ,2008,84
Drew County AR  ,2008,102
Faulkner County AR,2008,396
Franklin County AR  ,2008,59
Fulton County AR  ,2008,32
Garland County AR,2008,610
Grant County AR  ,2008,147
Greene County AR,2008,217
Hempstead County AR  ,2008,81
Hot Spring County AR  ,2008,184
Howard County AR  ,2008,57
Independence County AR  ,2008,131
Izard County AR  ,2008,41
Jackson County AR  ,2008,47
Jefferson County AR,2008,856
Johnson County AR  ,2008,89
Lafayette County AR  ,2008,35
Lawrence County AR  ,2008,67
Lee County AR  ,2008,34
Lincoln County AR  ,2008,91
Little River County AR  ,2008,50
Logan County AR  ,2008,56
Lonoke County AR,2008,426
Madison County AR  ,2008,61
Marion County AR  ,2008,43
Miller County AR  ,2008,173
Mississippi County AR  ,2008,157
Monroe County AR  ,2008,46
Montgomery County AR  ,2008,25
Nevada County AR  ,2008,38
Newton County AR  ,2008,14
Ouachita County AR  ,2008,143
Perry County AR  ,2008,42
Phillips County AR  ,2008,66
Pike County AR  ,2008,37
Poinsett County AR  ,2008,108
Polk County AR  ,2008,40
Pope County AR,2008,185
Prairie County AR  ,2008,42
Pulaski County AR,2008,2197
Randolph County AR  ,2008,51
St. Francis County AR  ,2008,104
Saline County AR,2008,649
Scott County AR  ,2008,38
Searcy County AR  ,2008,23
Sebastian County AR,2008,457
Sevier County AR  ,2008,26
Sharp County AR  ,2008,70
Stone County AR  ,2008,27
Union County AR  ,2008,209
Van Buren County AR  ,2008,38
Washington County AR,2008,781
White County AR,2008,315
Woodruff County AR  ,2008,31
Yell County AR  ,2008,52
Alameda County CA,2008,3735
Alpine County CA  ,2008,3
Amador County CA,2008,154
Butte County CA,2008,734
Calaveras County CA,2008,161
Colusa County CA  ,2008,53
Contra Costa County CA,2008,3818
Del Norte County CA  ,2008,28
El Dorado County CA,2008,671
Fresno County CA,2008,2911
Glenn County CA  ,2008,88
Humboldt County CA,2008,265
Imperial County CA,2008,420
Inyo County CA  ,2008,27
Kern County CA,2008,2787
Kings County CA,2008,316
Lake County CA,2008,188
Lassen County CA  ,2008,63
Los Angeles County CA    ,2008,31524
Madera County CA,2008,470
Marin County CA,2008,341
Mariposa County CA  ,2008,43
Mendocino County CA,2008,125
Merced County CA,2008,883
Modoc County CA  ,2008,16
Mono County CA  ,2008,9
Monterey County CA,2008,2381
Napa County CA,2008,260
Nevada County CA,2008,303
Orange County CA    ,2008,8312
Placer County CA,2008,1780
Plumas County CA  ,2008,44
Riverside County CA    ,2008,10813
Sacramento County CA,2008,7798
San Benito County CA,2008,292
San Bernardino County CA,2008,7525
San Diego County CA    ,2008,12927
San Francisco County CA,2008,1095
San Joaquin County CA,2008,3067
San Luis Obispo County CA,2008,711
San Mateo County CA,2008,1257
Santa Barbara County CA,2008,991
Santa Clara County CA,2008,3897
Santa Cruz County CA,2008,818
Shasta County CA,2008,829
Sierra County CA  ,2008,2
Siskiyou County CA,2008,128
Solano County CA,2008,2247
Sonoma County CA,2008,1503
Stanislaus County CA,2008,2514
Sutter County CA,2008,387
Tehama County CA,2008,233
Trinity County CA  ,2008,16
Tulare County CA,2008,1210
Tuolumne County CA,2008,184
Ventura County CA,2008,2441
Yolo County CA,2008,586
Yuba County CA,2008,354
Adams County CO,2008,2570
Alamosa County CO  ,2008,36
Arapahoe County CO,2008,2952
Archuleta County CO  ,2008,24
Baca County CO  ,2008,1
Bent County CO  ,2008,11
Boulder County CO,2008,781
Broomfield County CO,2008,233
Chaffee County CO  ,2008,28
Cheyenne County CO  ,2008,0
Clear Creek County CO  ,2008,30
Conejos County CO  ,2008,11
Costilla County CO  ,2008,9
Crowley County CO  ,2008,16
Custer County CO  ,2008,9
Delta County CO  ,2008,60
Denver County CO,2008,2373
Dolores County CO  ,2008,5
Douglas County CO,2008,1154
Eagle County CO  ,2008,24
Elbert County CO  ,2008,88
El Paso County CO,2008,2647
Fremont County CO,2008,159
Garfield County CO  ,2008,67
Gilpin County CO  ,2008,19
Grand County CO  ,2008,26
Gunnison County CO  ,2008,13
Huerfano County CO  ,2008,27
Jackson County CO  ,2008,3
Jefferson County CO,2008,2431
Kiowa County CO  ,2008,3
Kit Carson County CO  ,2008,16
Lake County CO  ,2008,8
La Plata County CO  ,2008,53
Larimer County CO,2008,1192
Las Animas County CO  ,2008,32
Lincoln County CO  ,2008,12
Logan County CO  ,2008,52
Mesa County CO,2008,364
Mineral County CO  ,2008,1
Moffat County CO  ,2008,24
Montezuma County CO  ,2008,35
Montrose County CO  ,2008,94
Morgan County CO  ,2008,100
Otero County CO  ,2008,65
Ouray County CO  ,2008,4
Park County CO  ,2008,70
Phillips County CO  ,2008,7
Pitkin County CO  ,2008,8
Prowers County CO  ,2008,29
Pueblo County CO,2008,671
Rio Blanco County CO  ,2008,9
Rio Grande County CO  ,2008,40
Routt County CO  ,2008,27
Saguache County CO  ,2008,18
San Juan County CO  ,2008,2
San Miguel County CO  ,2008,8
Sedgwick County CO  ,2008,7
Summit County CO  ,2008,37
Teller County CO  ,2008,115
Washington County CO  ,2008,11
Weld County CO,2008,1226
Yuma County CO  ,2008,23
Fairfield County CT,2008,1428
Hartford County CT,2008,1860
Litchfield County CT,2008,468
Middlesex County CT,2008,371
New Haven County CT,2008,2545
New London County CT,2008,533
Tolland County CT,2008,255
Windham County CT,2008,341
Kent County DE,2008,493
New Castle County DE,2008,1279
Sussex County DE,2008,502
District of Columbia DC,2008,805
Alachua County FL,2008,332
Baker County FL  ,2008,60
Bay County FL,2008,407
Bradford County FL  ,2008,63
Brevard County FL,2008,1939
Broward County FL,2008,5989
Calhoun County FL  ,2008,31
Charlotte County FL,2008,596
Citrus County FL,2008,445
Clay County FL,2008,778
Collier County FL,2008,841
Columbia County FL  ,2008,133
DeSoto County FL  ,2008,54
Dixie County FL  ,2008,21
Duval County FL,2008,3639
Escambia County FL,2008,928
Flagler County FL,2008,504
Franklin County FL  ,2008,10
Gadsden County FL  ,2008,122
Gilchrist County FL  ,2008,39
Glades County FL  ,2008,7
Gulf County FL  ,2008,23
Hamilton County FL  ,2008,25
Hardee County FL  ,2008,23
Hendry County FL  ,2008,62
Hernando County FL,2008,732
Highlands County FL,2008,167
Hillsborough County FL,2008,4547
Holmes County FL  ,2008,41
Indian River County FL,2008,297
Jackson County FL  ,2008,106
Jefferson County FL  ,2008,32
Lafayette County FL  ,2008,11
Lake County FL,2008,1383
Lee County FL,2008,2916
Leon County FL,2008,532
Levy County FL  ,2008,85
Liberty County FL  ,2008,11
Madison County FL  ,2008,38
Manatee County FL,2008,1122
Marion County FL,2008,889
Martin County FL,2008,308
Miami-Dade County FL    ,2008,8210
Monroe County FL,2008,169
Nassau County FL,2008,268
Okaloosa County FL,2008,501
Okeechobee County FL  ,2008,96
Orange County FL,2008,3958
Osceola County FL,2008,1260
Palm Beach County FL,2008,3022
Pasco County FL,2008,2045
Pinellas County FL,2008,3654
Polk County FL,2008,2207
Putnam County FL,2008,184
St. Johns County FL,2008,548
St. Lucie County FL,2008,1113
Santa Rosa County FL,2008,457
Sarasota County FL,2008,1630
Seminole County FL,2008,1392
Sumter County FL  ,2008,96
Suwannee County FL  ,2008,75
Taylor County FL  ,2008,42
Union County FL  ,2008,19
Volusia County FL,2008,2143
Wakulla County FL  ,2008,100
Walton County FL,2008,148
Washington County FL  ,2008,47
Appling County GA  ,2008,91
Atkinson County GA  ,2008,54
Bacon County GA  ,2008,55
Baker County GA  ,2008,19
Baldwin County GA  ,2008,280
Banks County GA  ,2008,83
Barrow County GA,2008,589
Bartow County GA,2008,772
Ben Hill County GA  ,2008,164
Berrien County GA  ,2008,122
Bibb County GA,2008,1101
Bleckley County GA  ,2008,61
Brantley County GA  ,2008,110
Brooks County GA  ,2008,109
Bryan County GA  ,2008,187
Bulloch County GA  ,2008,313
Burke County GA  ,2008,163
Butts County GA  ,2008,122
Calhoun County GA  ,2008,23
Camden County GA  ,2008,247
Candler County GA  ,2008,55
Carroll County GA,2008,696
Catoosa County GA,2008,494
Charlton County GA  ,2008,63
Chatham County GA,2008,1583
Chattahoochee County GA  ,2008,19
Chattooga County GA  ,2008,196
Cherokee County GA,2008,1159
Clarke County GA,2008,330
Clay County GA  ,2008,10
Clayton County GA,2008,2856
Clinch County GA  ,2008,54
Cobb County GA,2008,3398
Coffee County GA  ,2008,424
Colquitt County GA  ,2008,240
Columbia County GA,2008,533
Cook County GA  ,2008,145
Coweta County GA,2008,806
Crawford County GA  ,2008,98
Crisp County GA  ,2008,120
Dade County GA  ,2008,99
Dawson County GA  ,2008,120
Decatur County GA  ,2008,138
DeKalb County GA,2008,4860
Dodge County GA  ,2008,86
Dooly County GA  ,2008,48
Dougherty County GA,2008,656
Douglas County GA,2008,1213
Early County GA  ,2008,54
Echols County GA  ,2008,25
Effingham County GA  ,2008,420
Elbert County GA  ,2008,89
Emanuel County GA  ,2008,163
Evans County GA  ,2008,41
Fannin County GA  ,2008,107
Fayette County GA,2008,446
Floyd County GA,2008,622
Forsyth County GA,2008,605
Franklin County GA  ,2008,111
Fulton County GA,2008,4759
Gilmer County GA,2008,161
Glascock County GA  ,2008,20
Glynn County GA,2008,622
Gordon County GA,2008,381
Grady County GA  ,2008,111
Greene County GA  ,2008,56
Gwinnett County GA,2008,4382
Habersham County GA,2008,193
Hall County GA,2008,899
Hancock County GA  ,2008,59
Haralson County GA,2008,169
Harris County GA  ,2008,139
Hart County GA  ,2008,119
Heard County GA  ,2008,79
Henry County GA,2008,2015
Houston County GA,2008,754
Irwin County GA  ,2008,90
Jackson County GA,2008,399
Jasper County GA  ,2008,85
Jeff Davis County GA  ,2008,116
Jefferson County GA  ,2008,112
Jenkins County GA  ,2008,56
Johnson County GA  ,2008,58
Jones County GA  ,2008,188
Lamar County GA  ,2008,102
Lanier County GA  ,2008,37
Laurens County GA  ,2008,415
Lee County GA  ,2008,215
Liberty County GA  ,2008,372
Lincoln County GA  ,2008,45
Long County GA  ,2008,50
Lowndes County GA,2008,639
Lumpkin County GA  ,2008,121
McDuffie County GA  ,2008,206
McIntosh County GA  ,2008,83
