county,year,totalfilings
Napa County CA,2005,380
Nevada County CA,2005,445
Orange County CA,2005,11653
Placer County CA,2005,1383
Plumas County CA  ,2005,77
Riverside County CA,2005,8129
Sacramento County CA,2005,8168
San Benito County CA  ,2005,227
San Bernardino County CA,2005,8373
San Diego County CA    ,2005,14612
San Francisco County CA,2005,2993
San Joaquin County CA,2005,3224
San Luis Obispo County CA,2005,951
San Mateo County CA,2005,2201
Santa Barbara County CA,2005,1453
Santa Clara County CA,2005,6059
Santa Cruz County CA,2005,1098
Shasta County CA,2005,1025
Sierra County CA  ,2005,12
Siskiyou County CA  ,2005,173
Solano County CA,2005,1949
Sonoma County CA,2005,1997
Stanislaus County CA,2005,2850
Sutter County CA,2005,434
Tehama County CA,2005,318
Trinity County CA  ,2005,50
Tulare County CA,2005,2104
Tuolumne County CA,2005,304
Ventura County CA,2005,3075
Yolo County CA,2005,688
Yuba County CA,2005,349
Adams County CO,2005,5119
Alamosa County CO  ,2005,102
Arapahoe County CO,2005,5785
Archuleta County CO  ,2005,51
Baca County CO  ,2005,18
Bent County CO  ,2005,32
Boulder County CO,2005,1707
Broomfield County CO,2005,381
Chaffee County CO  ,2005,72
Cheyenne County CO  ,2005,6
Clear Creek County CO  ,2005,87
Conejos County CO  ,2005,32
Costilla County CO  ,2005,22
Crowley County CO  ,2005,29
Custer County CO  ,2005,22
Delta County CO  ,2005,188
Denver County CO,2005,5444
Dolores County CO  ,2005,11
Douglas County CO,2005,1869
Eagle County CO  ,2005,123
Elbert County CO  ,2005,178
El Paso County CO,2005,5541
Fremont County CO,2005,381
Garfield County CO,2005,276
Gilpin County CO  ,2005,51
Grand County CO  ,2005,65
Gunnison County CO  ,2005,49
Hinsdale County CO  ,2005,4
Huerfano County CO  ,2005,77
Jackson County CO  ,2005,7
Jefferson County CO,2005,5065
Kiowa County CO  ,2005,11
Kit Carson County CO  ,2005,43
Lake County CO  ,2005,33
La Plata County CO  ,2005,160
Larimer County CO,2005,2212
Las Animas County CO  ,2005,114
Lincoln County CO  ,2005,38
Logan County CO  ,2005,147
Mesa County CO,2005,1057
Moffat County CO  ,2005,87
Montezuma County CO  ,2005,101
Montrose County CO  ,2005,220
Morgan County CO  ,2005,175
Otero County CO  ,2005,141
Ouray County CO  ,2005,11
Park County CO  ,2005,148
Phillips County CO  ,2005,18
Pitkin County CO  ,2005,60
Prowers County CO  ,2005,54
Pueblo County CO,2005,1640
Rio Blanco County CO  ,2005,26
Rio Grande County CO  ,2005,92
Routt County CO  ,2005,77
Saguache County CO  ,2005,29
San Juan County CO  ,2005,4
San Miguel County CO  ,2005,24
Sedgwick County CO  ,2005,16
Summit County CO  ,2005,96
Teller County CO  ,2005,215
Washington County CO  ,2005,33
Weld County CO,2005,2279
Yuma County CO  ,2005,43
Fairfield County CT,2005,2529
Hartford County CT,2005,4247
Litchfield County CT,2005,890
Middlesex County CT,2005,637
New Haven County CT,2005,4673
New London County CT,2005,1042
Tolland County CT,2005,535
Windham County CT,2005,536
Kent County DE,2005,790
New Castle County DE,2005,2674
Sussex County DE,2005,669
District of Columbia DC,2005,2361
Alachua County FL,2005,805
Baker County FL  ,2005,131
Bay County FL,2005,664
Bradford County FL  ,2005,114
Brevard County FL,2005,2769
Broward County FL,2005,10416
Calhoun County FL  ,2005,45
Charlotte County FL,2005,653
Citrus County FL,2005,858
Clay County FL,2005,1266
Collier County FL,2005,926
Columbia County FL,2005,338
DeSoto County FL  ,2005,104
Dixie County FL  ,2005,50
Duval County FL,2005,6648
Escambia County FL,2005,1740
Flagler County FL,2005,469
Franklin County FL  ,2005,28
Gadsden County FL  ,2005,298
Gilchrist County FL  ,2005,81
Glades County FL  ,2005,14
Gulf County FL  ,2005,21
Hamilton County FL  ,2005,48
Hardee County FL  ,2005,72
Hendry County FL  ,2005,95
Hernando County FL,2005,1021
Highlands County FL,2005,388
Hillsborough County FL,2005,8061
Holmes County FL  ,2005,56
Indian River County FL,2005,519
Jackson County FL  ,2005,200
Jefferson County FL  ,2005,87
Lafayette County FL  ,2005,16
Lake County FL,2005,1635
Lee County FL,2005,2446
Leon County FL,2005,1068
Levy County FL  ,2005,171
Liberty County FL  ,2005,24
Madison County FL  ,2005,82
Manatee County FL,2005,1550
Marion County FL,2005,2059
Martin County FL,2005,478
Miami-Dade County FL    ,2005,16578
Monroe County FL  ,2005,268
Nassau County FL,2005,490
Okaloosa County FL,2005,760
Okeechobee County FL  ,2005,205
Orange County FL,2005,6639
Osceola County FL,2005,1561
Palm Beach County FL,2005,5978
Pasco County FL,2005,2967
Pinellas County FL,2005,6559
Polk County FL,2005,3736
Putnam County FL,2005,434
St. Johns County FL,2005,718
St. Lucie County FL,2005,1130
Santa Rosa County FL,2005,684
Sarasota County FL,2005,1824
Seminole County FL,2005,2637
Sumter County FL  ,2005,190
Suwannee County FL  ,2005,177
Taylor County FL  ,2005,87
Union County FL  ,2005,62
Volusia County FL,2005,3708
Wakulla County FL  ,2005,145
Walton County FL  ,2005,160
Washington County FL  ,2005,57
Appling County GA  ,2005,156
Atkinson County GA  ,2005,72
Bacon County GA  ,2005,104
Baker County GA  ,2005,25
Baldwin County GA  ,2005,400
Banks County GA  ,2005,106
Barrow County GA,2005,653
Bartow County GA,2005,1130
Ben Hill County GA  ,2005,217
Berrien County GA  ,2005,145
Bibb County GA,2005,1706
Bleckley County GA  ,2005,88
Brantley County GA  ,2005,192
Brooks County GA  ,2005,153
Bryan County GA  ,2005,232
Bulloch County GA  ,2005,393
Burke County GA  ,2005,246
Butts County GA  ,2005,218
Calhoun County GA  ,2005,29
Camden County GA  ,2005,315
Candler County GA  ,2005,59
Carroll County GA,2005,974
Catoosa County GA,2005,477
Charlton County GA  ,2005,88
Chatham County GA,2005,2199
Chattahoochee County GA  ,2005,32
Chattooga County GA  ,2005,176
Cherokee County GA,2005,1321
Clarke County GA,2005,482
Clay County GA  ,2005,21
Clayton County GA,2005,3719
Clinch County GA  ,2005,78
Cobb County GA,2005,5099
Coffee County GA  ,2005,573
Colquitt County GA  ,2005,386
Columbia County GA,2005,875
Cook County GA  ,2005,198
Coweta County GA,2005,1003
Crawford County GA  ,2005,88
Crisp County GA  ,2005,149
Dade County GA  ,2005,126
Dawson County GA  ,2005,149
Decatur County GA  ,2005,245
DeKalb County GA,2005,7178
Dodge County GA  ,2005,149
Dooly County GA  ,2005,64
Dougherty County GA,2005,1058
Douglas County GA,2005,1415
Early County GA  ,2005,90
Echols County GA  ,2005,10
Effingham County GA  ,2005,494
Elbert County GA  ,2005,150
Emanuel County GA  ,2005,218
Evans County GA  ,2005,75
Fannin County GA  ,2005,106
Fayette County GA,2005,677
Floyd County GA,2005,764
Forsyth County GA,2005,620
Franklin County GA  ,2005,118
Fulton County GA,2005,6294
Gilmer County GA  ,2005,161
Glascock County GA  ,2005,22
Glynn County GA  ,2005,717
Gordon County GA  ,2005,487
Grady County GA  ,2005,166
Greene County GA  ,2005,93
Gwinnett County GA,2005,5655
Habersham County GA  ,2005,217
Hall County GA,2005,1013
Hancock County GA  ,2005,72
Haralson County GA  ,2005,240
Harris County GA  ,2005,275
Hart County GA  ,2005,93
Heard County GA  ,2005,102
Henry County GA,2005,2138
Houston County GA,2005,994
Irwin County GA  ,2005,84
Jackson County GA  ,2005,395
Jasper County GA  ,2005,105
Jeff Davis County GA  ,2005,179
Jefferson County GA  ,2005,180
Jenkins County GA  ,2005,83
Johnson County GA  ,2005,56
Jones County GA  ,2005,199
Lamar County GA  ,2005,119
Lanier County GA  ,2005,41
Laurens County GA  ,2005,454
Lee County GA  ,2005,253
Liberty County GA  ,2005,500
Lincoln County GA  ,2005,74
Long County GA  ,2005,79
Lowndes County GA,2005,776
Lumpkin County GA  ,2005,155
McDuffie County GA  ,2005,265
McIntosh County GA  ,2005,117
Macon County GA  ,2005,87
Madison County GA  ,2005,196
Marion County GA  ,2005,27
Meriwether County GA  ,2005,193
Miller County GA  ,2005,55
Mitchell County GA  ,2005,210
Monroe County GA  ,2005,216
Montgomery County GA  ,2005,61
Morgan County GA  ,2005,136
Murray County GA  ,2005,415
Muscogee County GA,2005,1979
Newton County GA,2005,1101
Oconee County GA  ,2005,85
Oglethorpe County GA  ,2005,73
Paulding County GA,2005,1310
Peach County GA  ,2005,348
Pickens County GA  ,2005,230
Pierce County GA  ,2005,251
Pike County GA  ,2005,114
Polk County GA  ,2005,354
Pulaski County GA  ,2005,72
Putnam County GA  ,2005,153
Quitman County GA  ,2005,20
Rabun County GA  ,2005,73
Randolph County GA  ,2005,68
Richmond County GA,2005,2300
Rockdale County GA,2005,820
Schley County GA  ,2005,42
Screven County GA  ,2005,155
Seminole County GA  ,2005,53
Spalding County GA,2005,611
Stephens County GA  ,2005,212
Stewart County GA  ,2005,41
Sumter County GA  ,2005,276
Talbot County GA  ,2005,78
Taliaferro County GA  ,2005,17
Tattnall County GA  ,2005,111
Taylor County GA  ,2005,62
Telfair County GA  ,2005,99
Terrell County GA  ,2005,91
Thomas County GA  ,2005,349
Tift County GA  ,2005,431
Toombs County GA  ,2005,199
Towns County GA  ,2005,37
Treutlen County GA  ,2005,43
Troup County GA,2005,806
Turner County GA  ,2005,119
Twiggs County GA  ,2005,89
Union County GA  ,2005,70
Upson County GA  ,2005,219
Walker County GA,2005,745
Walton County GA,2005,612
Ware County GA  ,2005,662
Warren County GA  ,2005,80
Washington County GA  ,2005,153
Wayne County GA  ,2005,271
Webster County GA  ,2005,18
Wheeler County GA  ,2005,58
White County GA  ,2005,130
Whitfield County GA,2005,755
Wilcox County GA  ,2005,50
Wilkes County GA  ,2005,96
Wilkinson County GA  ,2005,114
Worth County GA  ,2005,197
Hawaii County HI,2005,389
Honolulu County HI,2005,3120
Kauai County HI  ,2005,199
Maui County HI,2005,704
Ada County ID,2005,3078
Adams County ID  ,2005,23
Bannock County ID,2005,616
