year,county,Divorced; Estimate; Population 15 years and over
2009,"Lyon County, Kansas",10.7
2009,"McPherson County, Kansas",8.5
2009,"Marion County, Kansas",7.2
2009,"Marshall County, Kansas",7.4
2009,"Meade County, Kansas",7.2
2009,"Miami County, Kansas",11
2009,"Mitchell County, Kansas",6.5
2009,"Montgomery County, Kansas",10.7
2009,"Morris County, Kansas",11.2
2009,"Morton County, Kansas",13.8
2009,"Nemaha County, Kansas",7.1
2009,"Neosho County, Kansas",10.6
2009,"Ness County, Kansas",9.3
2009,"Norton County, Kansas",14.9
2009,"Osage County, Kansas",10.8
2009,"Osborne County, Kansas",8.4
2009,"Ottawa County, Kansas",8.4
2009,"Pawnee County, Kansas",13.8
2009,"Phillips County, Kansas",7.5
2009,"Pottawatomie County, Kansas",8.8
2009,"Pratt County, Kansas",9.3
2009,"Rawlins County, Kansas",6.6
2009,"Reno County, Kansas",12.4
2009,"Republic County, Kansas",7.2
2009,"Rice County, Kansas",11.3
2009,"Riley County, Kansas",5.9
2009,"Rooks County, Kansas",9.9
2009,"Rush County, Kansas",8.9
2009,"Russell County, Kansas",11.5
2009,"Saline County, Kansas",13.7
2009,"Scott County, Kansas",10.8
2009,"Sedgwick County, Kansas",12.7
2009,"Seward County, Kansas",9.1
2009,"Shawnee County, Kansas",13.2
2009,"Sheridan County, Kansas",6.2
2009,"Sherman County, Kansas",7.6
2009,"Smith County, Kansas",5.6
2009,"Stafford County, Kansas",9.1
2009,"Stanton County, Kansas",8.3
2009,"Stevens County, Kansas",8.7
2009,"Sumner County, Kansas",10.9
2009,"Thomas County, Kansas",10
2009,"Trego County, Kansas",6.9
2009,"Wabaunsee County, Kansas",8.8
2009,"Wallace County, Kansas",11.3
2009,"Washington County, Kansas",7.6
2009,"Wichita County, Kansas",2.3
2009,"Wilson County, Kansas",10.8
2009,"Woodson County, Kansas",12.1
2009,"Wyandotte County, Kansas",13
2009,"Adair County, Kentucky",11.5
2009,"Allen County, Kentucky",13.5
2009,"Anderson County, Kentucky",12.5
2009,"Ballard County, Kentucky",11.2
2009,"Barren County, Kentucky",11.7
2009,"Bath County, Kentucky",14.5
2009,"Bell County, Kentucky",13.9
2009,"Boone County, Kentucky",11.3
2009,"Bourbon County, Kentucky",12.8
2009,"Boyd County, Kentucky",13.9
2009,"Boyle County, Kentucky",13.9
2009,"Bracken County, Kentucky",16.5
2009,"Breathitt County, Kentucky",9.7
2009,"Breckinridge County, Kentucky",12.9
2009,"Bullitt County, Kentucky",12.4
2009,"Butler County, Kentucky",11.2
2009,"Caldwell County, Kentucky",15.8
2009,"Calloway County, Kentucky",8.6
2009,"Campbell County, Kentucky",11.6
2009,"Carlisle County, Kentucky",10.3
2009,"Carroll County, Kentucky",15.8
2009,"Carter County, Kentucky",11.6
2009,"Casey County, Kentucky",9.1
2009,"Christian County, Kentucky",11.5
2009,"Clark County, Kentucky",12.8
2009,"Clay County, Kentucky",13.7
2009,"Clinton County, Kentucky",13.8
2009,"Crittenden County, Kentucky",13.5
2009,"Cumberland County, Kentucky",14.1
2009,"Daviess County, Kentucky",12.5
2009,"Edmonson County, Kentucky",11.9
2009,"Elliott County, Kentucky",11.6
2009,"Estill County, Kentucky",12.2
2009,"Fayette County, Kentucky",11.5
2009,"Fleming County, Kentucky",10.4
2009,"Floyd County, Kentucky",12.6
2009,"Franklin County, Kentucky",16.3
2009,"Fulton County, Kentucky",14.7
2009,"Gallatin County, Kentucky",15.9
2009,"Garrard County, Kentucky",14.7
2009,"Grant County, Kentucky",12.2
2009,"Graves County, Kentucky",11.7
2009,"Grayson County, Kentucky",12.2
2009,"Green County, Kentucky",10.4
2009,"Greenup County, Kentucky",10.5
2009,"Hancock County, Kentucky",10.7
2009,"Hardin County, Kentucky",10.9
2009,"Harlan County, Kentucky",12.3
2009,"Harrison County, Kentucky",11.4
2009,"Hart County, Kentucky",12.2
2009,"Henderson County, Kentucky",12.8
2009,"Henry County, Kentucky",14.4
2009,"Hickman County, Kentucky",12.3
2009,"Hopkins County, Kentucky",11.9
2009,"Jackson County, Kentucky",10
2009,"Jefferson County, Kentucky",12.7
2009,"Jessamine County, Kentucky",11.4
2009,"Johnson County, Kentucky",13
2009,"Kenton County, Kentucky",11.9
2009,"Knott County, Kentucky",12.7
2009,"Knox County, Kentucky",11.2
2009,"Larue County, Kentucky",10.6
2009,"Laurel County, Kentucky",12
2009,"Lawrence County, Kentucky",12
2009,"Lee County, Kentucky",15.5
2009,"Leslie County, Kentucky",10.2
2009,"Letcher County, Kentucky",11.5
2009,"Lewis County, Kentucky",10.5
2009,"Lincoln County, Kentucky",12.4
2009,"Livingston County, Kentucky",10.2
2009,"Logan County, Kentucky",12.4
2009,"Lyon County, Kentucky",17.6
2009,"McCracken County, Kentucky",12.4
2009,"McCreary County, Kentucky",12.2
2009,"McLean County, Kentucky",13
2009,"Madison County, Kentucky",11.6
2009,"Magoffin County, Kentucky",12.3
2009,"Marion County, Kentucky",12
2009,"Marshall County, Kentucky",11.5
2009,"Martin County, Kentucky",9.7
2009,"Mason County, Kentucky",11.7
2009,"Meade County, Kentucky",14.2
2009,"Menifee County, Kentucky",9.4
2009,"Mercer County, Kentucky",11.7
2009,"Metcalfe County, Kentucky",15.9
2009,"Monroe County, Kentucky",13.7
2009,"Montgomery County, Kentucky",12.4
2009,"Morgan County, Kentucky",14.8
2009,"Muhlenberg County, Kentucky",11
2009,"Nelson County, Kentucky",12.2
2009,"Nicholas County, Kentucky",11.3
2009,"Ohio County, Kentucky",10.5
2009,"Oldham County, Kentucky",9.2
2009,"Owen County, Kentucky",11.5
2009,"Owsley County, Kentucky",8.5
2009,"Pendleton County, Kentucky",14.7
2009,"Perry County, Kentucky",13.2
2009,"Pike County, Kentucky",11
2009,"Powell County, Kentucky",14.1
2009,"Pulaski County, Kentucky",13.1
2009,"Robertson County, Kentucky",13.1
2009,"Rockcastle County, Kentucky",9.1
2009,"Rowan County, Kentucky",10.4
2009,"Russell County, Kentucky",14.9
2009,"Scott County, Kentucky",10.3
2009,"Shelby County, Kentucky",10.8
2009,"Simpson County, Kentucky",14.4
2009,"Spencer County, Kentucky",11
2009,"Taylor County, Kentucky",15.2
2009,"Todd County, Kentucky",10.1
2009,"Trigg County, Kentucky",10.2
2009,"Trimble County, Kentucky",11.5
2009,"Union County, Kentucky",9.7
2009,"Warren County, Kentucky",10.2
2009,"Washington County, Kentucky",10
2009,"Wayne County, Kentucky",10.3
2009,"Webster County, Kentucky",11.7
2009,"Whitley County, Kentucky",13.9
2009,"Wolfe County, Kentucky",13.7
2009,"Woodford County, Kentucky",10.1
2009,"Acadia Parish, Louisiana",9.8
2009,"Allen Parish, Louisiana",11.7
2009,"Ascension Parish, Louisiana",11.2
2009,"Assumption Parish, Louisiana",11.1
2009,"Avoyelles Parish, Louisiana",11.7
2009,"Beauregard Parish, Louisiana",12
2009,"Bienville Parish, Louisiana",10.3
2009,"Bossier Parish, Louisiana",11.7
2009,"Caddo Parish, Louisiana",12.9
2009,"Calcasieu Parish, Louisiana",11.6
2009,"Caldwell Parish, Louisiana",10.6
2009,"Cameron Parish, Louisiana",6.6
2009,"Catahoula Parish, Louisiana",9.4
2009,"Claiborne Parish, Louisiana",9.4
2009,"Concordia Parish, Louisiana",12.7
2009,"De Soto Parish, Louisiana",10.9
2009,"East Baton Rouge Parish, Louisiana",9.9
2009,"East Carroll Parish, Louisiana",11.6
2009,"East Feliciana Parish, Louisiana",10.9
2009,"Evangeline Parish, Louisiana",7.7
2009,"Franklin Parish, Louisiana",9.8
2009,"Grant Parish, Louisiana",12.1
2009,"Iberia Parish, Louisiana",11.1
2009,"Iberville Parish, Louisiana",11.2
2009,"Jackson Parish, Louisiana",8.4
2009,"Jefferson Parish, Louisiana",12
2009,"Jefferson Davis Parish, Louisiana",9.3
2009,"Lafayette Parish, Louisiana",11.3
2009,"Lafourche Parish, Louisiana",8.8
2009,"La Salle Parish, Louisiana",9.2
2009,"Lincoln Parish, Louisiana",7.5
2009,"Livingston Parish, Louisiana",12.1
2009,"Madison Parish, Louisiana",10.8
2009,"Morehouse Parish, Louisiana",11.5
2009,"Natchitoches Parish, Louisiana",9
2009,"Orleans Parish, Louisiana",12.1
2009,"Ouachita Parish, Louisiana",11.2
2009,"Plaquemines Parish, Louisiana",9.7
2009,"Pointe Coupee Parish, Louisiana",8.2
2009,"Rapides Parish, Louisiana",11.9
2009,"Red River Parish, Louisiana",9.6
2009,"Richland Parish, Louisiana",9.4
2009,"Sabine Parish, Louisiana",9.1
2009,"St. Bernard Parish, Louisiana",13.8
2009,"St. Charles Parish, Louisiana",9.8
2009,"St. Helena Parish, Louisiana",9.5
2009,"St. James Parish, Louisiana",8.6
2009,"St. John the Baptist Parish, Louisiana",10.6
2009,"St. Landry Parish, Louisiana",9.7
2009,"St. Martin Parish, Louisiana",10.9
2009,"St. Mary Parish, Louisiana",11.1
2009,"St. Tammany Parish, Louisiana",10.4
2009,"Tangipahoa Parish, Louisiana",10.7
2009,"Tensas Parish, Louisiana",11.9
2009,"Terrebonne Parish, Louisiana",10.6
2009,"Union Parish, Louisiana",9.7
2009,"Vermilion Parish, Louisiana",10.1
2009,"Vernon Parish, Louisiana",9.2
2009,"Washington Parish, Louisiana",13.5
2009,"Webster Parish, Louisiana",13
2009,"West Baton Rouge Parish, Louisiana",12.8
2009,"West Carroll Parish, Louisiana",9.8
2009,"West Feliciana Parish, Louisiana",11.6
2009,"Winn Parish, Louisiana",12
2009,"Androscoggin County, Maine",13
2009,"Aroostook County, Maine",10.9
2009,"Cumberland County, Maine",12
2009,"Franklin County, Maine",13.4
2009,"Hancock County, Maine",12.4
2009,"Kennebec County, Maine",12.7
2009,"Knox County, Maine",14.6
2009,"Lincoln County, Maine",14
2009,"Oxford County, Maine",13.2
2009,"Penobscot County, Maine",12.6
2009,"Piscataquis County, Maine",11.2
2009,"Sagadahoc County, Maine",13.6
2009,"Somerset County, Maine",15.5
2009,"Waldo County, Maine",13.5
2009,"Washington County, Maine",11.2
2009,"York County, Maine",12.1
2009,"Allegany County, Maryland",10.4
2009,"Anne Arundel County, Maryland",9.8
2009,"Baltimore County, Maryland",9.6
2009,"Calvert County, Maryland",8.8
2009,"Caroline County, Maryland",10
2009,"Carroll County, Maryland",7.9
2009,"Cecil County, Maryland",10.1
2009,"Charles County, Maryland",10.1
2009,"Dorchester County, Maryland",11.9
2009,"Frederick County, Maryland",8.9
2009,"Garrett County, Maryland",8.5
2009,"Harford County, Maryland",9.2
2009,"Howard County, Maryland",7.5
2009,"Kent County, Maryland",9.3
2009,"Montgomery County, Maryland",8
2009,"Prince George's County, Maryland",10.2
2009,"Queen Anne's County, Maryland",10.2
2009,"St. Mary's County, Maryland",8.8
2009,"Somerset County, Maryland",9.5
2009,"Talbot County, Maryland",9.3
2009,"Washington County, Maryland",10.8
2009,"Wicomico County, Maryland",11.6
2009,"Worcester County, Maryland",9
2009,"Baltimore city, Maryland",11
2009,"Barnstable County, Massachusetts",10.7
2009,"Berkshire County, Massachusetts",11.9
2009,"Bristol County, Massachusetts",9.9
2009,"Dukes County, Massachusetts",11.7
2009,"Essex County, Massachusetts",9.7
2009,"Franklin County, Massachusetts",12.3
2009,"Hampden County, Massachusetts",10.4
2009,"Hampshire County, Massachusetts",8.9
2009,"Middlesex County, Massachusetts",7.9
2009,"Nantucket County, Massachusetts",9.7
2009,"Norfolk County, Massachusetts",7.7
2009,"Plymouth County, Massachusetts",10
2009,"Suffolk County, Massachusetts",7.9
2009,"Worcester County, Massachusetts",9.9
2009,"Alcona County, Michigan",11.9
2009,"Alger County, Michigan",11.6
2009,"Allegan County, Michigan",10.4
2009,"Alpena County, Michigan",11.4
2009,"Antrim County, Michigan",10.6
2009,"Arenac County, Michigan",11.6
2009,"Baraga County, Michigan",11
2009,"Barry County, Michigan",11
2009,"Bay County, Michigan",11.1
2009,"Benzie County, Michigan",11.7
2009,"Berrien County, Michigan",11.3
2009,"Branch County, Michigan",12.3
2009,"Calhoun County, Michigan",13.8
2009,"Cass County, Michigan",10.2
2009,"Charlevoix County, Michigan",11.2
2009,"Cheboygan County, Michigan",13.1
2009,"Chippewa County, Michigan",11.6
2009,"Clare County, Michigan",12.9
2009,"Clinton County, Michigan",8.1
2009,"Crawford County, Michigan",13.5
2009,"Delta County, Michigan",11.4
2009,"Dickinson County, Michigan",11.5
2009,"Eaton County, Michigan",11.4
2009,"Emmet County, Michigan",12.6
2009,"Genesee County, Michigan",12.8
2009,"Gladwin County, Michigan",9.9
2009,"Gogebic County, Michigan",11.1
2009,"Grand Traverse County, Michigan",13
2009,"Gratiot County, Michigan",11.3
2009,"Hillsdale County, Michigan",10.7
2009,"Houghton County, Michigan",7.8
2009,"Huron County, Michigan",9.9
2009,"Ingham County, Michigan",9.7
2009,"Ionia County, Michigan",10.8
2009,"Iosco County, Michigan",11.4
2009,"Iron County, Michigan",10.3
2009,"Isabella County, Michigan",7.5
2009,"Jackson County, Michigan",13
2009,"Kalamazoo County, Michigan",10.3
2009,"Kalkaska County, Michigan",15
2009,"Kent County, Michigan",10.1
2009,"Keweenaw County, Michigan",8.8
2009,"Lake County, Michigan",12.6
2009,"Lapeer County, Michigan",10.5
2009,"Leelanau County, Michigan",8.4
2009,"Lenawee County, Michigan",9.9
2009,"Livingston County, Michigan",9.5
2009,"Luce County, Michigan",12.3
2009,"Mackinac County, Michigan",12.3
2009,"Macomb County, Michigan",10.4
2009,"Manistee County, Michigan",11.5
2009,"Marquette County, Michigan",9.3
2009,"Mason County, Michigan",11.4
2009,"Mecosta County, Michigan",9.1
2009,"Menominee County, Michigan",10.7
2009,"Midland County, Michigan",10.2
2009,"Missaukee County, Michigan",11.1
2009,"Monroe County, Michigan",9.8
2009,"Montcalm County, Michigan",13.9
2009,"Montmorency County, Michigan",12.7
2009,"Muskegon County, Michigan",12.8
2009,"Newaygo County, Michigan",10.9
2009,"Oakland County, Michigan",10.3
2009,"Oceana County, Michigan",10.1
2009,"Ogemaw County, Michigan",11.9
2009,"Ontonagon County, Michigan",10.3
2009,"Osceola County, Michigan",11.5
2009,"Oscoda County, Michigan",9.9
2009,"Otsego County, Michigan",11.7
2009,"Ottawa County, Michigan",8
2009,"Presque Isle County, Michigan",9.3
2009,"Roscommon County, Michigan",12.2
2009,"Saginaw County, Michigan",11.1
2009,"St. Clair County, Michigan",11
2009,"St. Joseph County, Michigan",11.9
2009,"Sanilac County, Michigan",10.1
2009,"Schoolcraft County, Michigan",9.9
2009,"Shiawassee County, Michigan",11.9
2009,"Tuscola County, Michigan",10.1
2009,"Van Buren County, Michigan",11.6
2009,"Washtenaw County, Michigan",8.7
2009,"Wayne County, Michigan",11.9
2009,"Wexford County, Michigan",12
2009,"Aitkin County, Minnesota",10.7
2009,"Anoka County, Minnesota",9.7
2009,"Becker County, Minnesota",9.8
2009,"Beltrami County, Minnesota",9.4
2009,"Benton County, Minnesota",8.9
2009,"Big Stone County, Minnesota",7.1
2009,"Blue Earth County, Minnesota",7.5
2009,"Brown County, Minnesota",8.5
2009,"Carlton County, Minnesota",10.1
2009,"Carver County, Minnesota",7.2
2009,"Cass County, Minnesota",9.4
2009,"Chippewa County, Minnesota",10.3
2009,"Chisago County, Minnesota",9.6
2009,"Clay County, Minnesota",7.7
2009,"Clearwater County, Minnesota",9
2009,"Cook County, Minnesota",12.7
2009,"Cottonwood County, Minnesota",8
2009,"Crow Wing County, Minnesota",9.6
2009,"Dakota County, Minnesota",9.9
2009,"Dodge County, Minnesota",7.9
2009,"Douglas County, Minnesota",9.6
2009,"Faribault County, Minnesota",7.6
2009,"Fillmore County, Minnesota",8.4
2009,"Freeborn County, Minnesota",9.8
2009,"Goodhue County, Minnesota",9.7
2009,"Grant County, Minnesota",7.6
2009,"Hennepin County, Minnesota",9.6
2009,"Houston County, Minnesota",8.4
2009,"Hubbard County, Minnesota",10.3
2009,"Isanti County, Minnesota",10.6
2009,"Itasca County, Minnesota",9.8
2009,"Jackson County, Minnesota",8.3
2009,"Kanabec County, Minnesota",10.8
2009,"Kandiyohi County, Minnesota",7.4
2009,"Kittson County, Minnesota",8.8
2009,"Koochiching County, Minnesota",12.3
2009,"Lac qui Parle County, Minnesota",8
2009,"Lake County, Minnesota",10.8
2009,"Lake of the Woods County, Minnesota",7.3
2009,"Le Sueur County, Minnesota",9
2009,"Lincoln County, Minnesota",7.1
2009,"Lyon County, Minnesota",5.9
2009,"McLeod County, Minnesota",9.4
2009,"Mahnomen County, Minnesota",10.2
2009,"Marshall County, Minnesota",6.7
2009,"Martin County, Minnesota",9.4
2009,"Meeker County, Minnesota",9
2009,"Mille Lacs County, Minnesota",10.9
2009,"Morrison County, Minnesota",8.6
2009,"Mower County, Minnesota",10.2
2009,"Murray County, Minnesota",6.9
2009,"Nicollet County, Minnesota",7.3
2009,"Nobles County, Minnesota",6.6
2009,"Norman County, Minnesota",9
2009,"Olmsted County, Minnesota",8.5
2009,"Otter Tail County, Minnesota",8.7
2009,"Pennington County, Minnesota",10.9
2009,"Pine County, Minnesota",11.5
2009,"Pipestone County, Minnesota",8.8
2009,"Polk County, Minnesota",8.1
2009,"Pope County, Minnesota",8.2
2009,"Ramsey County, Minnesota",10.2
2009,"Red Lake County, Minnesota",8.5
2009,"Redwood County, Minnesota",8.4
2009,"Renville County, Minnesota",6.6
2009,"Rice County, Minnesota",8.8
2009,"Rock County, Minnesota",7.6
2009,"Roseau County, Minnesota",9.8
2009,"St. Louis County, Minnesota",10.4
2009,"Scott County, Minnesota",9.3
2009,"Sherburne County, Minnesota",8.3
2009,"Sibley County, Minnesota",7.4
2009,"Stearns County, Minnesota",7.1
2009,"Steele County, Minnesota",7.9
2009,"Stevens County, Minnesota",6
2009,"Swift County, Minnesota",7.5
2009,"Todd County, Minnesota",8.3
2009,"Traverse County, Minnesota",6.7
2009,"Wabasha County, Minnesota",8.5
2009,"Wadena County, Minnesota",10
2009,"Waseca County, Minnesota",9.1
2009,"Washington County, Minnesota",9.3
2009,"Watonwan County, Minnesota",9.4
2009,"Wilkin County, Minnesota",10.2
2009,"Winona County, Minnesota",7.4
2009,"Wright County, Minnesota",8.3
2009,"Yellow Medicine County, Minnesota",6.9
2009,"Adams County, Mississippi",12
2009,"Alcorn County, Mississippi",14
2009,"Amite County, Mississippi",12.4
2009,"Attala County, Mississippi",9.9
2009,"Benton County, Mississippi",11.4
2009,"Bolivar County, Mississippi",8.7
2009,"Calhoun County, Mississippi",12.9
2009,"Carroll County, Mississippi",7.4
2009,"Chickasaw County, Mississippi",10.3
2009,"Choctaw County, Mississippi",10.6
2009,"Claiborne County, Mississippi",7
2009,"Clarke County, Mississippi",11.1
2009,"Clay County, Mississippi",9.5
2009,"Coahoma County, Mississippi",10.8
2009,"Copiah County, Mississippi",9.4
2009,"Covington County, Mississippi",8.6
2009,"DeSoto County, Mississippi",11.4
2009,"Forrest County, Mississippi",11.1
2009,"Franklin County, Mississippi",8.3
2009,"George County, Mississippi",9.3
2009,"Greene County, Mississippi",7.8
2009,"Grenada County, Mississippi",12.2
2009,"Hancock County, Mississippi",9.8
2009,"Harrison County, Mississippi",12.8
2009,"Hinds County, Mississippi",11.6
2009,"Holmes County, Mississippi",8.6
2009,"Humphreys County, Mississippi",7.1
2009,"Issaquena County, Mississippi",10.7
2009,"Itawamba County, Mississippi",9.8
2009,"Jackson County, Mississippi",12.1
2009,"Jasper County, Mississippi",11.9
2009,"Jefferson County, Mississippi",7.9
2009,"Jefferson Davis County, Mississippi",6.4
2009,"Jones County, Mississippi",9.7
2009,"Kemper County, Mississippi",6.6
2009,"Lafayette County, Mississippi",7.5
2009,"Lamar County, Mississippi",10.9
2009,"Lauderdale County, Mississippi",12.4
2009,"Lawrence County, Mississippi",11
2009,"Leake County, Mississippi",8.8
2009,"Lee County, Mississippi",13.7
2009,"Leflore County, Mississippi",8.4
2009,"Lincoln County, Mississippi",9.5
2009,"Lowndes County, Mississippi",9.7
2009,"Madison County, Mississippi",9.8
2009,"Marion County, Mississippi",11.1
2009,"Marshall County, Mississippi",11.9
2009,"Monroe County, Mississippi",11.5
2009,"Montgomery County, Mississippi",7.2
2009,"Neshoba County, Mississippi",13.3
2009,"Newton County, Mississippi",8.8
2009,"Noxubee County, Mississippi",6.4
2009,"Oktibbeha County, Mississippi",6.1
2009,"Panola County, Mississippi",10.3
2009,"Pearl River County, Mississippi",12.4
2009,"Perry County, Mississippi",10.9
2009,"Pike County, Mississippi",11.1
2009,"Pontotoc County, Mississippi",11.3
2009,"Prentiss County, Mississippi",10.9
2009,"Quitman County, Mississippi",12.7
2009,"Rankin County, Mississippi",12.5
2009,"Scott County, Mississippi",9.7
2009,"Sharkey County, Mississippi",8.4
2009,"Simpson County, Mississippi",8.9
2009,"Smith County, Mississippi",6.5
2009,"Stone County, Mississippi",12.3
2009,"Sunflower County, Mississippi",9.1
2009,"Tallahatchie County, Mississippi",8
2009,"Tate County, Mississippi",9.6
2009,"Tippah County, Mississippi",15.1
2009,"Tishomingo County, Mississippi",13.8
2009,"Tunica County, Mississippi",12.4
2009,"Union County, Mississippi",11.7
2009,"Walthall County, Mississippi",11
2009,"Warren County, Mississippi",11
2009,"Washington County, Mississippi",10.8
2009,"Wayne County, Mississippi",7.5
2009,"Webster County, Mississippi",11.5
2009,"Wilkinson County, Mississippi",10.1
2009,"Winston County, Mississippi",8.6
2009,"Yalobusha County, Mississippi",12.8
2009,"Yazoo County, Mississippi",11.8
2009,"Adair County, Missouri",7.6
2009,"Andrew County, Missouri",11.4
2009,"Atchison County, Missouri",11.3
2009,"Audrain County, Missouri",12.3
2009,"Barry County, Missouri",11.8
2009,"Barton County, Missouri",7.6
2009,"Bates County, Missouri",10.6
2009,"Benton County, Missouri",9.6
2009,"Bollinger County, Missouri",8.8
2009,"Boone County, Missouri",8.6
2009,"Buchanan County, Missouri",13.7
2009,"Butler County, Missouri",16
2009,"Caldwell County, Missouri",10.5
2009,"Callaway County, Missouri",11.9
2009,"Camden County, Missouri",15
2009,"Cape Girardeau County, Missouri",10.6
2009,"Carroll County, Missouri",8.9
2009,"Carter County, Missouri",13.5
2009,"Cass County, Missouri",11.2
2009,"Cedar County, Missouri",8.8
2009,"Chariton County, Missouri",10
2009,"Christian County, Missouri",9.8
2009,"Clark County, Missouri",9.5
2009,"Clay County, Missouri",11.2
2009,"Clinton County, Missouri",12.9
2009,"Cole County, Missouri",12
2009,"Cooper County, Missouri",10.3
2009,"Crawford County, Missouri",12.9
2009,"Dade County, Missouri",11.7
2009,"Dallas County, Missouri",13.7
2009,"Daviess County, Missouri",10.3
2009,"DeKalb County, Missouri",14.8
2009,"Dent County, Missouri",10.7
2009,"Douglas County, Missouri",14
2009,"Dunklin County, Missouri",14.4
2009,"Franklin County, Missouri",10.8
2009,"Gasconade County, Missouri",12.5
2009,"Gentry County, Missouri",12
2009,"Greene County, Missouri",11.9
2009,"Grundy County, Missouri",9.8
2009,"Harrison County, Missouri",12.9
2009,"Henry County, Missouri",13.1
2009,"Hickory County, Missouri",12.6
2009,"Holt County, Missouri",10
2009,"Howard County, Missouri",9.7
2009,"Howell County, Missouri",12.5
2009,"Iron County, Missouri",12.4
2009,"Jackson County, Missouri",13.5
2009,"Jasper County, Missouri",13.7
2009,"Jefferson County, Missouri",11.9
2009,"Johnson County, Missouri",9.2
2009,"Knox County, Missouri",10.1
2009,"Laclede County, Missouri",12.6
2009,"Lafayette County, Missouri",10.9
2009,"Lawrence County, Missouri",13.2
2009,"Lewis County, Missouri",8.1
2009,"Lincoln County, Missouri",12.3
2009,"Linn County, Missouri",11.4
2009,"Livingston County, Missouri",11.5
2009,"McDonald County, Missouri",11
2009,"Macon County, Missouri",11.7
2009,"Madison County, Missouri",9.7
2009,"Maries County, Missouri",8.9
2009,"Marion County, Missouri",12.5
2009,"Mercer County, Missouri",12
2009,"Miller County, Missouri",13.1
2009,"Mississippi County, Missouri",14.3
2009,"Moniteau County, Missouri",10.8
2009,"Monroe County, Missouri",9.3
2009,"Montgomery County, Missouri",10.7
2009,"Morgan County, Missouri",10.8
2009,"New Madrid County, Missouri",10.6
2009,"Newton County, Missouri",12.8
2009,"Nodaway County, Missouri",6.8
2009,"Oregon County, Missouri",11.6
2009,"Osage County, Missouri",7.7
2009,"Ozark County, Missouri",11.6
2009,"Pemiscot County, Missouri",13.8
2009,"Perry County, Missouri",9.8
2009,"Pettis County, Missouri",12.4
2009,"Phelps County, Missouri",11.8
2009,"Pike County, Missouri",11.3
2009,"Platte County, Missouri",11.7
2009,"Polk County, Missouri",10.5
2009,"Pulaski County, Missouri",9.3
2009,"Putnam County, Missouri",11.5
2009,"Ralls County, Missouri",7.7
2009,"Randolph County, Missouri",16.1
2009,"Ray County, Missouri",9.7
2009,"Reynolds County, Missouri",15
2009,"Ripley County, Missouri",11.3
2009,"St. Charles County, Missouri",9
2009,"St. Clair County, Missouri",12.8
2009,"Ste. Genevieve County, Missouri",10.2
2009,"St. Francois County, Missouri",14.1
2009,"St. Louis County, Missouri",10.2
2009,"Saline County, Missouri",11.4
2009,"Schuyler County, Missouri",10.7
2009,"Scotland County, Missouri",8
2009,"Scott County, Missouri",12.8
2009,"Shannon County, Missouri",11.4
2009,"Shelby County, Missouri",11.7
2009,"Stoddard County, Missouri",12
2009,"Stone County, Missouri",13.3
2009,"Sullivan County, Missouri",15
2009,"Taney County, Missouri",12
2009,"Texas County, Missouri",11.5
2009,"Vernon County, Missouri",13.5
2009,"Warren County, Missouri",8.8
2009,"Washington County, Missouri",12.3
2009,"Wayne County, Missouri",10
2009,"Webster County, Missouri",11.6
2009,"Worth County, Missouri",7.7
2009,"Wright County, Missouri",12.1
2009,"St. Louis city, Missouri",12.5
2009,"Beaverhead County, Montana",9.3
2009,"Big Horn County, Montana",10.6
2009,"Blaine County, Montana",8.4
2009,"Broadwater County, Montana",12.7
2009,"Carbon County, Montana",13
2009,"Carter County, Montana",7.7
2009,"Cascade County, Montana",13.2
2009,"Chouteau County, Montana",7.9
2009,"Custer County, Montana",13.8
2009,"Daniels County, Montana",9.5
2009,"Dawson County, Montana",6.4
2009,"Deer Lodge County, Montana",12.2
2009,"Fallon County, Montana",8.2
2009,"Fergus County, Montana",11.3
2009,"Flathead County, Montana",14
2009,"Gallatin County, Montana",9
2009,"Garfield County, Montana",12.5
2009,"Glacier County, Montana",10.1
2009,"Golden Valley County, Montana",10.1
2009,"Granite County, Montana",17.9
2009,"Hill County, Montana",9.1
2009,"Jefferson County, Montana",13.9
2009,"Judith Basin County, Montana",8.6
2009,"Lake County, Montana",12.6
2009,"Lewis and Clark County, Montana",14.9
2009,"Liberty County, Montana",5.5
2009,"Lincoln County, Montana",15.7
2009,"McCone County, Montana",3.6
2009,"Madison County, Montana",13.3
2009,"Meagher County, Montana",15.4
2009,"Mineral County, Montana",14.5
2009,"Missoula County, Montana",11.8
2009,"Musselshell County, Montana",7.5
2009,"Park County, Montana",12.5
2009,"Petroleum County, Montana",6.2
2009,"Phillips County, Montana",12.8
2009,"Pondera County, Montana",6.9
2009,"Powder River County, Montana",6.7
2009,"Powell County, Montana",19.5
2009,"Prairie County, Montana",6.7
2009,"Ravalli County, Montana",12.9
2009,"Richland County, Montana",6.7
2009,"Roosevelt County, Montana",12.6
2009,"Rosebud County, Montana",10
2009,"Sanders County, Montana",13.4
2009,"Sheridan County, Montana",9.7
2009,"Silver Bow County, Montana",13.1
2009,"Stillwater County, Montana",10.7
2009,"Sweet Grass County, Montana",15.3
2009,"Teton County, Montana",7.9
2009,"Toole County, Montana",12
2009,"Treasure County, Montana",4.7
2009,"Valley County, Montana",10.6
2009,"Wheatland County, Montana",10.5
2009,"Wibaux County, Montana",12.3
2009,"Yellowstone County, Montana",12.8
2009,"Adams County, Nebraska",9.9
