year,county,Divorced; Estimate; Population 15 years and over
2005,"Hawaii County, Hawaii",10.5
2005,"Honolulu County, Hawaii",9.5
2005,"Maui County, Hawaii",10.3
2005,"Ada County, Idaho",12.6
2005,"Bannock County, Idaho",10.8
2005,"Bonneville County, Idaho",9
2005,"Canyon County, Idaho",11.1
2005,"Kootenai County, Idaho",12.8
2005,"Twin Falls County, Idaho",12.8
2005,"Adams County, Illinois",10.8
2005,"Champaign County, Illinois",8.7
2005,"Cook County, Illinois",8.6
2005,"DeKalb County, Illinois",8.5
2005,"DuPage County, Illinois",8.2
2005,"Kane County, Illinois",8.1
2005,"Kankakee County, Illinois",10
2005,"Kendall County, Illinois",6
2005,"Lake County, Illinois",7.5
2005,"LaSalle County, Illinois",9.1
2005,"McHenry County, Illinois",9.2
2005,"McLean County, Illinois",9.4
2005,"Macon County, Illinois",11.6
2005,"Madison County, Illinois",10.6
2005,"Peoria County, Illinois",9.8
2005,"Rock Island County, Illinois",11.8
2005,"St. Clair County, Illinois",10.4
2005,"Sangamon County, Illinois",13.4
2005,"Tazewell County, Illinois",10.8
2005,"Vermilion County, Illinois",13.8
2005,"Will County, Illinois",5.8
2005,"Winnebago County, Illinois",11.2
2005,"Allen County, Indiana",10.4
2005,"Bartholomew County, Indiana",10.5
2005,"Clark County, Indiana",15.7
2005,"Delaware County, Indiana",9.2
2005,"Elkhart County, Indiana",10.4
2005,"Floyd County, Indiana",12.2
2005,"Grant County, Indiana",13
2005,"Hamilton County, Indiana",9.3
2005,"Hendricks County, Indiana",8.4
2005,"Howard County, Indiana",11.1
2005,"Johnson County, Indiana",9.7
2005,"Kosciusko County, Indiana",12.3
2005,"Lake County, Indiana",11.3
2005,"LaPorte County, Indiana",12.1
2005,"Madison County, Indiana",12.4
2005,"Marion County, Indiana",13
2005,"Monroe County, Indiana",9
2005,"Morgan County, Indiana",11
2005,"Porter County, Indiana",11.7
2005,"St. Joseph County, Indiana",11.7
2005,"Tippecanoe County, Indiana",10.4
2005,"Vanderburgh County, Indiana",14.5
2005,"Vigo County, Indiana",12
2005,"Wayne County, Indiana",11.6
2005,"Black Hawk County, Iowa",11.2
2005,"Dubuque County, Iowa",9.5
2005,"Johnson County, Iowa",7.6
2005,"Linn County, Iowa",12.8
2005,"Polk County, Iowa",10.7
2005,"Pottawattamie County, Iowa",11.7
2005,"Scott County, Iowa",9.8
2005,"Story County, Iowa",5.6
2005,"Woodbury County, Iowa",13
2005,"Douglas County, Kansas",10.4
2005,"Johnson County, Kansas",9.7
2005,"Leavenworth County, Kansas",10.9
2005,"Sedgwick County, Kansas",12.9
2005,"Shawnee County, Kansas",12
2005,"Wyandotte County, Kansas",12.5
2005,"Boone County, Kentucky",11.1
2005,"Bullitt County, Kentucky",12.8
2005,"Campbell County, Kentucky",11.9
2005,"Christian County, Kentucky",12.2
2005,"Daviess County, Kentucky",12.8
2005,"Fayette County, Kentucky",11.7
2005,"Hardin County, Kentucky",9.8
2005,"Jefferson County, Kentucky",12.2
2005,"Kenton County, Kentucky",12.8
2005,"Madison County, Kentucky",9.5
2005,"Pike County, Kentucky",10.9
2005,"Warren County, Kentucky",11.4
2005,"Ascension Parish, Louisiana",9.7
2005,"Bossier Parish, Louisiana",10.6
2005,"Caddo Parish, Louisiana",11.9
2005,"Calcasieu Parish, Louisiana",11.7
2005,"East Baton Rouge Parish, Louisiana",10.4
2005,"Iberia Parish, Louisiana",9.8
2005,"Jefferson Parish, Louisiana",13.3
2005,"Lafayette Parish, Louisiana",10.7
2005,"Lafourche Parish, Louisiana",7.2
2005,"Livingston Parish, Louisiana",9.2
2005,"Orleans Parish, Louisiana",11.9
2005,"Ouachita Parish, Louisiana",11
2005,"Rapides Parish, Louisiana",12.4
2005,"St. Bernard Parish, Louisiana",11.2
2005,"St. Landry Parish, Louisiana",10.1
2005,"St. Tammany Parish, Louisiana",8.8
2005,"Tangipahoa Parish, Louisiana",10.6
2005,"Terrebonne Parish, Louisiana",8.8
2005,"Androscoggin County, Maine",13.3
2005,"Aroostook County, Maine",10.8
2005,"Cumberland County, Maine",12.3
2005,"Kennebec County, Maine",12.7
2005,"Penobscot County, Maine",12.1
2005,"York County, Maine",12.4
2005,"Allegany County, Maryland",10.6
2005,"Anne Arundel County, Maryland",9.5
2005,"Baltimore County, Maryland",9.8
2005,"Calvert County, Maryland",8.6
2005,"Carroll County, Maryland",8.6
2005,"Cecil County, Maryland",10.3
2005,"Charles County, Maryland",10.3
2005,"Frederick County, Maryland",8.2
2005,"Harford County, Maryland",8.5
2005,"Howard County, Maryland",7.3
2005,"Montgomery County, Maryland",7.8
2005,"Prince George's County, Maryland",9.4
2005,"St. Mary's County, Maryland",7.6
2005,"Washington County, Maryland",12
2005,"Wicomico County, Maryland",12.3
2005,"Baltimore city, Maryland",12.1
2005,"Barnstable County, Massachusetts",9.7
2005,"Berkshire County, Massachusetts",10.6
2005,"Bristol County, Massachusetts",9.9
2005,"Essex County, Massachusetts",9.9
2005,"Franklin County, Massachusetts",11.3
2005,"Hampden County, Massachusetts",9.6
2005,"Hampshire County, Massachusetts",9.7
2005,"Middlesex County, Massachusetts",7.9
2005,"Norfolk County, Massachusetts",7.7
2005,"Plymouth County, Massachusetts",9.9
2005,"Suffolk County, Massachusetts",7.3
2005,"Worcester County, Massachusetts",9.3
2005,"Allegan County, Michigan",9.4
2005,"Bay County, Michigan",12.1
2005,"Berrien County, Michigan",11.6
2005,"Calhoun County, Michigan",12.3
2005,"Clinton County, Michigan",7.4
2005,"Eaton County, Michigan",11.8
2005,"Genesee County, Michigan",11.9
2005,"Grand Traverse County, Michigan",11.8
2005,"Ingham County, Michigan",9.1
2005,"Isabella County, Michigan",8.7
2005,"Jackson County, Michigan",12.6
2005,"Kalamazoo County, Michigan",10.7
2005,"Kent County, Michigan",10.3
2005,"Lapeer County, Michigan",8.5
2005,"Lenawee County, Michigan",10.3
2005,"Livingston County, Michigan",9
2005,"Macomb County, Michigan",9.7
2005,"Midland County, Michigan",8.3
2005,"Monroe County, Michigan",9.7
2005,"Muskegon County, Michigan",12
2005,"Oakland County, Michigan",10.3
2005,"Ottawa County, Michigan",7.4
2005,"Saginaw County, Michigan",10.3
2005,"St. Clair County, Michigan",9
2005,"Shiawassee County, Michigan",11.5
2005,"Van Buren County, Michigan",10.6
2005,"Washtenaw County, Michigan",8.9
2005,"Wayne County, Michigan",12
2005,"Anoka County, Minnesota",10.1
2005,"Carver County, Minnesota",6.4
2005,"Dakota County, Minnesota",9.8
2005,"Hennepin County, Minnesota",9.7
2005,"Olmsted County, Minnesota",9.6
2005,"Ramsey County, Minnesota",10.6
2005,"St. Louis County, Minnesota",10.6
2005,"Scott County, Minnesota",7.6
2005,"Sherburne County, Minnesota",5.7
2005,"Stearns County, Minnesota",8.6
2005,"Washington County, Minnesota",8.9
2005,"Wright County, Minnesota",8.9
2005,"DeSoto County, Mississippi",12.3
2005,"Forrest County, Mississippi",12.5
2005,"Harrison County, Mississippi",12.5
2005,"Hinds County, Mississippi",10.4
2005,"Jackson County, Mississippi",12.8
2005,"Jones County, Mississippi",10.4
2005,"Lauderdale County, Mississippi",13.3
2005,"Lee County, Mississippi",12.5
2005,"Madison County, Mississippi",10.6
2005,"Rankin County, Mississippi",9.6
2005,"Boone County, Missouri",10.9
2005,"Buchanan County, Missouri",11.1
2005,"Cape Girardeau County, Missouri",10.1
2005,"Cass County, Missouri",11.8
2005,"Christian County, Missouri",8.5
2005,"Clay County, Missouri",10.5
2005,"Cole County, Missouri",12.4
2005,"Franklin County, Missouri",10.3
2005,"Greene County, Missouri",12.4
2005,"Jackson County, Missouri",13.1
2005,"Jasper County, Missouri",10.6
2005,"Jefferson County, Missouri",11.4
2005,"Platte County, Missouri",11.1
2005,"St. Charles County, Missouri",8.5
2005,"St. Louis County, Missouri",10.4
2005,"St. Louis city, Missouri",13.3
2005,"Cascade County, Montana",13.2
2005,"Flathead County, Montana",13.2
2005,"Gallatin County, Montana",9.3
2005,"Missoula County, Montana",14
2005,"Yellowstone County, Montana",12.3
2005,"Douglas County, Nebraska",12
2005,"Lancaster County, Nebraska",9.8
2005,"Sarpy County, Nebraska",8.9
2005,"Clark County, Nevada",13.3
2005,"Washoe County, Nevada",12.9
2005,"Cheshire County, New Hampshire",13.5
2005,"Grafton County, New Hampshire",11.3
2005,"Hillsborough County, New Hampshire",11.4
2005,"Merrimack County, New Hampshire",11.3
2005,"Rockingham County, New Hampshire",11.8
2005,"Strafford County, New Hampshire",12.3
2005,"Atlantic County, New Jersey",9.1
2005,"Bergen County, New Jersey",7.5
2005,"Burlington County, New Jersey",7.6
2005,"Camden County, New Jersey",8.7
2005,"Cape May County, New Jersey",7.9
2005,"Cumberland County, New Jersey",9.8
2005,"Essex County, New Jersey",9.1
2005,"Gloucester County, New Jersey",6.5
2005,"Hudson County, New Jersey",9.3
2005,"Hunterdon County, New Jersey",7.2
2005,"Mercer County, New Jersey",8.2
2005,"Middlesex County, New Jersey",7.7
2005,"Monmouth County, New Jersey",7.2
2005,"Morris County, New Jersey",7.3
2005,"Ocean County, New Jersey",7.7
2005,"Passaic County, New Jersey",7.8
2005,"Salem County, New Jersey",8.6
2005,"Somerset County, New Jersey",7.4
2005,"Sussex County, New Jersey",8.1
2005,"Union County, New Jersey",6.8
2005,"Warren County, New Jersey",12.8
